0,Media / Entertainment / Internet
1,Advertising / PR / MR / Event Management
2,IT-Software / Software Services
3,Banking / Financial Services / Broking
4,Aviation / Aerospace Firms
5,Industrial Products / Heavy Machinery
6,FMCG / Foods / Beverage
7,Recruitment / Staffing
8,Internet / Ecommerce
9,Travel / Hotels / Restaurants / Airlines / Railways
10,BPO / Call Centre / ITES
11,Pharma / Biotech / Clinical Research
12,Real Estate / Property
13,Insurance
14,Facility Management
15,Publishing
16,Education / Teaching / Training
17,Retail / Wholesale
18,Automobile / Auto Anciliary / Auto Components
19,Chemicals / PetroChemical / Plastic / Rubber
20,Government / Defence
21,Accounting / Finance
22,Textiles / Garments / Accessories
23,Semiconductors / Electronics
24,Telecom/ISP
25,Medical / Healthcare / Hospitals
26,Legal
27,Courier / Transportation / Freight / Warehousing
28,NGO / Social Services / Regulators / Industry Associations
29,Other
30,Architecture / Interior Design
31,KPO / Research / Analytics
32,Construction / Engineering / Cement / Metals
33,Office Equipment / Automation
34,Consumer Electronics / Appliances / Durables
35,Iron and Steel
36,Strategy / Management Consulting Firms
37,Oil and Gas / Energy / Power / Infrastructure
38,IT-Hardware & Networking
39,Wellness / Fitness / Sports / Beauty
40,Agriculture / Dairy
41,Electricals / Switchgears
42,Security / Law Enforcement
43,Gems / Jewellery
44,Ceramics / Sanitary ware
45,Fresher / Trainee / Entry Level
46,Food Processing
47,Printing / Packaging
48,Brewery / Distillery
49,Telecom/ISP /
50,Export / Import
51,Heat Ventilation / Air Conditioning
52,Wellness / Fitness / Sports
53,Water Treatment / Waste Management
54,Shipping / Marine
55,Glass / Glassware
56,Animation / Gaming
57,Fertilizers / Pesticides
58,Pulp and Paper
59,Tyres
60,3 - 5 yrs
61,Leather
62,Broadcasting
63,10 - 20 yrs
64,Medical Devices / Equipments
